MUNICIPIO,COLONIA,indice,indice_texto
AZCAPOTZALCO,AGUILERA,0.84140817778,Medio
AZCAPOTZALCO,ALDANA,0.84508557273,Medio
AZCAPOTZALCO,PETROLERA (AMPL),0.90798433333,Alto
AZCAPOTZALCO,ANGEL ZIMBRON,0.90185636667,Alto
AZCAPOTZALCO,ARENAL,0.84665111714,Medio
AZCAPOTZALCO,CENTRO DE AZCAPOTZALCO,0.89250407407,Alto
AZCAPOTZALCO,CLAVERIA,0.93625147021, Muy Alto
AZCAPOTZALCO,COLTONGO,0.824799452,Bajo
AZCAPOTZALCO,COSMOPOLITA,0.86241934167,Medio
AZCAPOTZALCO,COSMOPOLITA (AMPL),0.84540489375,Medio
AZCAPOTZALCO,CRUZ ROJA TEPANTONGO (U HAB),0.80571607333,Bajo
AZCAPOTZALCO,CUITL├üHUAC 1 Y 2 (U HAB),0.9261713225,Alto
AZCAPOTZALCO,CUITL├üHUAC 3 Y 4 (U HAB),0.94244832785, Muy Alto
AZCAPOTZALCO,DEL GAS,0.87718997358,Medio
AZCAPOTZALCO,DEL GAS (AMPL),0.92281731667,Alto
AZCAPOTZALCO,DEL MAESTRO,0.89185238,Alto
AZCAPOTZALCO,DEL RECREO,0.91967951111,Alto
AZCAPOTZALCO,DEMET (U HAB),0.90162581667,Alto
AZCAPOTZALCO,ECOLOGICA NOVEDADES IMPACTO (U HAB),0.93584084167, Muy Alto
AZCAPOTZALCO,EL JAGUEY-ESTACION PANTACO,0.82238581111,Bajo
AZCAPOTZALCO,EL ROSARIO A (U HAB),0.89116723415,Alto
AZCAPOTZALCO,EL ROSARIO B (U HAB),0.89435645875,Alto
AZCAPOTZALCO,EL ROSARIO C (U HAB),0.90350969537,Alto
AZCAPOTZALCO,EUZKADI,0.87439164,Medio
AZCAPOTZALCO,EX-HACIENDA EL ROSARIO,0.94997206207, Muy Alto
AZCAPOTZALCO,FERRERIA,0.9562400119, Muy Alto
AZCAPOTZALCO,FERRERIA (U HAB),0.930700356,Alto
AZCAPOTZALCO,FRANCISCO VILLA (U HAB),0.92370698333,Alto
AZCAPOTZALCO,FUENTES DE AZCAPOTZALCO-PARQUES DE AZCAPOTZALCO (U HAB),0.94966438571, Muy Alto
AZCAPOTZALCO,HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,0.932212105,Alto
AZCAPOTZALCO,HOGARES FERROCARRILEROS (U HAB),0.94261591111, Muy Alto
AZCAPOTZALCO,HUAUTLA DE LAS SALINAS (BARR),0.787164,Bajo
AZCAPOTZALCO,IGNACIO ALLENDE,0.87275031,Medio
AZCAPOTZALCO,INDUSTRIAL VALLEJO (U HAB),0.77578791429,Muy Bajo
AZCAPOTZALCO,ISSFAM LAS ARMAS (U HAB),0.9594702975, Muy Alto
