precio,ubicacion,tamanio,metros_cuadrados,num_baños,num_estacionamientos,num_recamaras,antiguedad,calle,colonia,alcaldia
35000," Calle Lago Zurich 219,  Ampliación Granada, Miguel Hidalgo",7111,1,1,1,1,1.0, Calle Lago Zurich 219, Ampliación Granada,Miguel Hidalgo
90000," Bosques de La Reforma,  Bosque de las Lomas, Miguel Hidalgo",39943,399,5,3,3,4.0, Bosques de La Reforma, Bosque de las Lomas,Miguel Hidalgo
30014," El Yaqui ,  El Yaqui, Cuajimalpa de Morelos",10622,106,2,2,2,2.0, El Yaqui , El Yaqui,Cuajimalpa de Morelos
21500," José María Rico,  Del Valle Sur, Benito Juárez",9022,90,2,2,2,2.0, José María Rico, Del Valle Sur,Benito Juárez
25000," Granjas Palo Alto ,  Granjas Palo Alto, Cuajimalpa de Morelos",12023,120,2,3,3,2.0, Granjas Palo Alto , Granjas Palo Alto,Cuajimalpa de Morelos
25014," Granjas Palo Alto ,  Granjas Palo Alto, Cuajimalpa de Morelos",12023,120,2,3,3,2.0, Granjas Palo Alto , Granjas Palo Alto,Cuajimalpa de Morelos
38000," lago zurich 245,  Ampliación Granada, Miguel Hidalgo",11522,115,2,2,2,2.0, lago zurich 245, Ampliación Granada,Miguel Hidalgo
10000," Mar Mediterráneo,  Popotla, Miguel Hidalgo",4521,45,1,1,1,2.0, Mar Mediterráneo, Popotla,Miguel Hidalgo
38000," av ejercito nacion 769,  Ampliación Granada, Miguel Hidalgo",11522,115,2,2,2,2.0, av ejercito nacion 769, Ampliación Granada,Miguel Hidalgo
35000," Carretera México-toluca,  Contadero, Cuajimalpa de Morelos",13532,135,3,2,2,3.0, Carretera México-toluca, Contadero,Cuajimalpa de Morelos
30500," Sevilla,  Juárez, Cuauhtémoc",9522,95,2,2,2,2.0, Sevilla, Juárez,Cuauhtémoc
26900," Lope de Vega,  Polanco, Miguel Hidalgo",13021,130,2,1,1,2.0, Lope de Vega, Polanco,Miguel Hidalgo
25000," Alpes,  Lomas de Chapultepec, Miguel Hidalgo",7011,70,1,1,1,1.0, Alpes, Lomas de Chapultepec,Miguel Hidalgo
20000," Calle Avenida dos,  San Pedro de los Pinos, Benito Juárez",8922,89,2,2,2,2.0, Calle Avenida dos, San Pedro de los Pinos,Benito Juárez
14000," Camelia,  Buenavista, Cuauhtémoc",6221,62,2,1,1,2.0, Camelia, Buenavista,Cuauhtémoc
29000," Lago Zurich 243,  Ampliación Granada, Miguel Hidalgo",9022,2,2,2,2,7.0, Lago Zurich 243, Ampliación Granada,Miguel Hidalgo
60000," Colima,  Roma Norte, Cuauhtémoc",14222,142,3,2,2,2.0, Colima, Roma Norte,Cuauhtémoc
12500," Poniente 122,  Coltongo, Azcapotzalco",6821,68,2,1,1,2.0, Poniente 122, Coltongo,Azcapotzalco
49000," Chicontepec 57,  Hipódromo Condesa, Cuauhtémoc",9822,2,2,2,2,4.0, Chicontepec 57, Hipódromo Condesa,Cuauhtémoc
18000," Eje 3 Norte Camarones,  San Bernabé, Azcapotzalco",7621,76,2,1,1,2.0, Eje 3 Norte Camarones, San Bernabé,Azcapotzalco
30000," Calle Carlos Finlay,  Cuauhtémoc, Cuauhtémoc",13311,133,1,1,1,1.0, Calle Carlos Finlay, Cuauhtémoc,Cuauhtémoc
31365," Mezquital,  Peralvillo, Cuauhtémoc",6021,60,1,1,1,2.0, Mezquital, Peralvillo,Cuauhtémoc
71200," Avenida Moliere,  Polanco, Miguel Hidalgo",25432,254,4,2,2,3.0, Avenida Moliere, Polanco,Miguel Hidalgo
10000," Morelos,  Ex Hacienda Coapa, Tlalpan",5121,51,1,1,1,2.0, Morelos, Ex Hacienda Coapa,Tlalpan
15000," Antonio Van Dick,  Santa María Nonoalco, Benito Juárez",6521,65,2,1,1,2.0, Antonio Van Dick, Santa María Nonoalco,Benito Juárez
45000," CERRADA DE FERROCARRIL DE CUERNAVACA 779,  Polanco, Miguel Hidalgo",11522,115,2,2,2,2.0, CERRADA DE FERROCARRIL DE CUERNAVACA 779, Polanco,Miguel Hidalgo
32000," Benjamin Franklin  hipodromo condesa cuauhtémoc,  Hipódromo Condesa, Cuauhtémoc",9231,92,2,1,1,3.0, Benjamin Franklin  hipodromo condesa cuauhtémoc, Hipódromo Condesa,Cuauhtémoc
12000," H.congreso de La Unión,  Bondojito, Gustavo A. Madero",5621,56,2,1,1,2.0, H.congreso de La Unión, Bondojito,Gustavo A. Madero
26300," Coahuila,  Roma Norte, Cuauhtémoc",9531,95,2,1,1,3.0, Coahuila, Roma Norte,Cuauhtémoc
58000," Chicontepec 57,  Hipódromo Condesa, Cuauhtémoc",11622,2,2,2,2,4.0, Chicontepec 57, Hipódromo Condesa,Cuauhtémoc
60000," LAGO ZURICH 219,  Polanco, Miguel Hidalgo",11822,118,3,2,2,2.0, LAGO ZURICH 219, Polanco,Miguel Hidalgo
45000," LAGO ZURICH 245,  Ampliación Granada, Miguel Hidalgo",12032,120,2,2,2,3.0, LAGO ZURICH 245, Ampliación Granada,Miguel Hidalgo
17000," San Antonio Abad 58,  Tránsito, Cuauhtémoc",5721,57,1,1,1,2.0, San Antonio Abad 58, Tránsito,Cuauhtémoc
34500," Juan Racine,  Polanco, Miguel Hidalgo",18032,180,2,2,2,3.0, Juan Racine, Polanco,Miguel Hidalgo
14200000," Av Paseo de la Reforma 2693,  Ampliación Granada, Miguel Hidalgo",29434,3,4,3,3,1.0, Av Paseo de la Reforma 2693, Ampliación Granada,Miguel Hidalgo
19000," Carretera México-toluca,  El Yaqui, Cuajimalpa de Morelos",6211,62,1,1,1,1.0, Carretera México-toluca, El Yaqui,Cuajimalpa de Morelos
27017," Calle Sierra Minuira ,  Reforma Social, Miguel Hidalgo",12022,120,2,2,2,2.0, Calle Sierra Minuira , Reforma Social,Miguel Hidalgo
27700," Berlín,  Juárez, Cuauhtémoc",12721,127,2,1,1,2.0, Berlín, Juárez,Cuauhtémoc
9000," Avenida Tetiz,  Pedregal de San Nicolás, Tlalpan",8521,85,1,1,1,2.0, Avenida Tetiz, Pedregal de San Nicolás,Tlalpan
28000," Córdoba,  Roma Norte, Cuauhtémoc",7921,79,1,1,1,2.0, Córdoba, Roma Norte,Cuauhtémoc
46500," Alfonso Reyes,  Hipódromo Condesa, Cuauhtémoc",7021,70,2,1,1,2.0, Alfonso Reyes, Hipódromo Condesa,Cuauhtémoc
27000," Renta Departamento High Park Santa FE,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",7012,70,2,2,2,1.0, Renta Departamento High Park Santa FE, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
18500," El Greco, Nonoalco, Benito Juárez, Ciudad de México, CDMX,  Santa María Nonoalco, Benito Juárez",6321,2,1,2,2,, El Greco,Nonoalco,Benito Juárez
39999,"  Calle Carlos Finlay,  Juárez, Cuauhtémoc",12821,2,1,2,2,1.0,  Calle Carlos Finlay, Juárez,Cuauhtémoc
30000," Renacimiento ,  Colonia Renacimiento, Cuauhtémoc",13311,133,1,1,1,1.0, Renacimiento , Colonia Renacimiento,Cuauhtémoc
15000," Francisco Del Paso Y Troncoso,  Granjas México, Iztacalco",6322,63,2,2,2,2.0, Francisco Del Paso Y Troncoso, Granjas México,Iztacalco
45000," LAGO ZURICH 96,  Ampliación Granada, Miguel Hidalgo",10022,100,2,2,2,2.0, LAGO ZURICH 96, Ampliación Granada,Miguel Hidalgo
45017," Calle Chicontepec ,  Hipódromo Condesa, Cuauhtémoc",8522,85,2,2,2,2.0, Calle Chicontepec , Hipódromo Condesa,Cuauhtémoc
44999," Calle Chicontepec,  Hipódromo Condesa, Cuauhtémoc",8522,2,2,2,2,2.0, Calle Chicontepec, Hipódromo Condesa,Cuauhtémoc
29000," Calzada San Simon,  San Simón Ticumac, Benito Juárez",6221,62,2,1,1,2.0, Calzada San Simon, San Simón Ticumac,Benito Juárez
55000," Lago Zurich 272,  Ampliación Granada, Miguel Hidalgo",10522,2,2,2,2,1.0, Lago Zurich 272, Ampliación Granada,Miguel Hidalgo
12000," Cda. Coahuila,  Cuajimalpa, Cuajimalpa de Morelos",9822,98,2,2,2,2.0, Cda. Coahuila, Cuajimalpa,Cuajimalpa de Morelos
32000," LAGO ZURICH 219,  Ampliación Granada, Miguel Hidalgo",7011,70,1,1,1,1.0, LAGO ZURICH 219, Ampliación Granada,Miguel Hidalgo
18000," Avenida Cuauhtémoc,  Roma Sur, Cuauhtémoc",7521,75,2,1,1,2.0, Avenida Cuauhtémoc, Roma Sur,Cuauhtémoc
34500," Juan Racine,  Polanco, Miguel Hidalgo",18032,180,2,2,2,3.0, Juan Racine, Polanco,Miguel Hidalgo
24000," Av. Popocatépetl 164,  Portales Norte, Benito Juárez",7822,2,2,2,2,, Av. Popocatépetl 164, Portales Norte,Benito Juárez
24000," Blvd. Manuel Avila Camacho 611,  Periodista, Miguel Hidalgo",5511,1,1,1,1,, Blvd. Manuel Avila Camacho 611, Periodista,Miguel Hidalgo
61290,"  Av. Homero 1433,Polanco, Polanco II Secc, Miguel Hidalgo,  Polanco II Sección, Polanco",13521,135,2,1,1,2.0,"  Av. Homero 1433,Polanco",Polanco II Secc,Miguel Hidalgo
10000," Gorostiza,  Morelos, Cuauhtémoc",5421,54,1,1,1,2.0, Gorostiza, Morelos,Cuauhtémoc
26000," Londres,  Juárez, Cuauhtémoc",9021,90,2,1,1,2.0, Londres, Juárez,Cuauhtémoc
65000," Rio Poo 40,  Cuauhtémoc, Cuauhtémoc",17632,2,2,3,3,, Rio Poo 40, Cuauhtémoc,Cuauhtémoc
15500," Avenida Arteaga Y Salazar,  Contadero, Cuajimalpa de Morelos",7811,78,1,1,1,1.0, Avenida Arteaga Y Salazar, Contadero,Cuajimalpa de Morelos
30000," José María Olloqui,  Del Valle Sur, Benito Juárez",13032,130,3,2,2,3.0, José María Olloqui, Del Valle Sur,Benito Juárez
10000," Morelos,  Ex Hacienda Coapa, Tlalpan",5121,51,1,1,1,2.0, Morelos, Ex Hacienda Coapa,Tlalpan
21736," Carretera México-toluca,  El Yaqui, Cuajimalpa de Morelos",12424,124,2,4,4,2.0, Carretera México-toluca, El Yaqui,Cuajimalpa de Morelos
9400," Francisco Javier Clavijero,  Esperanza, Cuauhtémoc",4821,48,1,1,1,2.0, Francisco Javier Clavijero, Esperanza,Cuauhtémoc
18300," Río Ussuri,  Cuauhtémoc, Cuauhtémoc",8221,82,2,1,1,2.0, Río Ussuri, Cuauhtémoc,Cuauhtémoc
7500," Peluqueros,  Morelos, Venustiano Carranza",5521,55,1,1,1,2.0, Peluqueros, Morelos,Venustiano Carranza
32000," Arkansas 48 Nápoles Benito Juárez 03810 Ciudad de México Cdmx México,  Nápoles, Benito Juárez",16031,160,3,1,1,3.0, Arkansas 48 Nápoles Benito Juárez 03810 Ciudad de México Cdmx México, Nápoles,Benito Juárez
12500," Calle Juárez,  San Álvaro, Azcapotzalco",4621,46,1,1,1,2.0, Calle Juárez, San Álvaro,Azcapotzalco
95000," Renta Pent House Lomas DE Vista Hermosa,  Lomas de Vista Hermosa, Cuajimalpa de Morelos",34046,340,4,6,6,4.0, Renta Pent House Lomas DE Vista Hermosa, Lomas de Vista Hermosa,Cuajimalpa de Morelos
8500," Calzada Vallejo,  Santa Rosa, Gustavo A. Madero",4821,48,1,1,1,2.0, Calzada Vallejo, Santa Rosa,Gustavo A. Madero
87000," Lago Zurich 245,  Ampliación Granada, Miguel Hidalgo",30023,300,2,3,3,2.0, Lago Zurich 245, Ampliación Granada,Miguel Hidalgo
22809," Carretera México-toluca,  El Yaqui, Cuajimalpa de Morelos",10822,108,2,2,2,2.0, Carretera México-toluca, El Yaqui,Cuajimalpa de Morelos
120000," Presidente Masaryk 300,  Polanco, Miguel Hidalgo",30032,300,3,2,2,3.0, Presidente Masaryk 300, Polanco,Miguel Hidalgo
12000," Cda. Coahuila,  Cuajimalpa, Cuajimalpa de Morelos",9822,98,2,2,2,2.0, Cda. Coahuila, Cuajimalpa,Cuajimalpa de Morelos
23000," San Alberto,  Pedregal de Santa Ursula, Coyoacán",17232,172,3,2,2,3.0, San Alberto, Pedregal de Santa Ursula,Coyoacán
32000," presa falcon 243,  Ampliación Granada, Miguel Hidalgo",8522,85,2,2,2,2.0, presa falcon 243, Ampliación Granada,Miguel Hidalgo
28000," Avenida Popocatépetl ,  Portales Sur, Benito Juárez",8622,86,2,2,2,2.0, Avenida Popocatépetl , Portales Sur,Benito Juárez
12000," Sur 143,  Ampliación Gabriel Ramos Millán, Iztacalco",12031,120,2,1,1,3.0, Sur 143, Ampliación Gabriel Ramos Millán,Iztacalco
60000," LAGO ZURICH 219,  Ampliación Granada, Miguel Hidalgo",11822,118,3,2,2,2.0, LAGO ZURICH 219, Ampliación Granada,Miguel Hidalgo
40000," Calle 13 de Septiembre,  Escandón I Sección, Miguel Hidalgo",8532,85,3,2,2,3.0, Calle 13 de Septiembre, Escandón I Sección,Miguel Hidalgo
55000," Presa Falcón 243 A1,  Ampliación Granada, Miguel Hidalgo",10332,2,2,3,3,1.0, Presa Falcón 243 A1, Ampliación Granada,Miguel Hidalgo
12000," CLAVEL,  La Candelaria, Coyoacán",5821,58,1,1,1,2.0, CLAVEL, La Candelaria,Coyoacán
22000," lago zurich 243,  Ampliación Granada, Miguel Hidalgo",5511,55,1,1,1,1.0, lago zurich 243, Ampliación Granada,Miguel Hidalgo
45000," Lago Iseo 532,  Anáhuac I Sección, Miguel Hidalgo",9521,2,1,2,2,2.0, Lago Iseo 532, Anáhuac I Sección,Miguel Hidalgo
44999," Calle Chicontepec ,  Hipódromo Condesa, Cuauhtémoc",8522,85,1,2,2,2.0, Calle Chicontepec , Hipódromo Condesa,Cuauhtémoc
40000," Av. Parque de Los Ciervos,  Juárez, Cuauhtémoc",20032,200,4,2,2,3.0, Av. Parque de Los Ciervos, Juárez,Cuauhtémoc
1150011," Granados,  Granjas Navidad, Cuajimalpa de Morelos",7821,78,2,1,1,2.0, Granados, Granjas Navidad,Cuajimalpa de Morelos
13000," Avenida Jardín,  Del Gas, Azcapotzalco",8232,82,2,2,2,3.0, Avenida Jardín, Del Gas,Azcapotzalco
28000," lago andromaco 104,  Ampliación Granada, Miguel Hidalgo",7811,1,1,1,1,1.0, lago andromaco 104, Ampliación Granada,Miguel Hidalgo
45000," CERRADA DE FERROCARRIL DE CUERNAVACA 779,  Ampliación Granada, Miguel Hidalgo",11522,115,2,2,2,2.0, CERRADA DE FERROCARRIL DE CUERNAVACA 779, Ampliación Granada,Miguel Hidalgo
45000," LAGO ZURICH 96,  Polanco, Miguel Hidalgo",10022,100,2,2,2,2.0, LAGO ZURICH 96, Polanco,Miguel Hidalgo
27000," Sierra Muinura 26,  Reforma Social, Miguel Hidalgo",12022,120,2,2,2,2.0, Sierra Muinura 26, Reforma Social,Miguel Hidalgo
13000," Calle Doctor José María Vértiz,  Letrán Valle, Benito Juárez",6811,68,1,1,1,1.0, Calle Doctor José María Vértiz, Letrán Valle,Benito Juárez
15000," Avenida México,  Jesús del Monte, Cuajimalpa de Morelos",6521,65,1,1,1,2.0, Avenida México, Jesús del Monte,Cuajimalpa de Morelos
85000," Lago Zurich 245,  Ampliación Granada, Miguel Hidalgo",18032,180,3,2,2,3.0, Lago Zurich 245, Ampliación Granada,Miguel Hidalgo
20000," Avenida Pedro Henríquez Ureña,  Rinconada de los Reyes, Coyoacán",12522,125,2,2,2,2.0, Avenida Pedro Henríquez Ureña, Rinconada de los Reyes,Coyoacán
88000," Avenida Paseo Del Río,  Barrio Oxtopulco Universidad, Coyoacán",48032,480,5,2,2,3.0, Avenida Paseo Del Río, Barrio Oxtopulco Universidad,Coyoacán
23500," Avenida Popocatepetl 234,  General Pedro María Anaya, Benito Juárez",10732,2,2,3,3,6.0, Avenida Popocatepetl 234, General Pedro María Anaya,Benito Juárez
6500000," Carretera Mexico Toluca ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",11533,115,2,3,3,3.0, Carretera Mexico Toluca , Santa Fe Cuajimalpa,Cuajimalpa de Morelos
72000," Campeche 377,  Hipódromo, Cuauhtémoc",15131,151,3,1,1,3.0, Campeche 377, Hipódromo,Cuauhtémoc
34000," Av Chapultepec 240,  Roma Norte, Cuauhtémoc",14722,2,2,2,2,2.0, Av Chapultepec 240, Roma Norte,Cuauhtémoc
16000," Carretera Federal México - Toluca 5860,  Contadero, Cuajimalpa de Morelos",4511,1,1,1,1,1.0, Carretera Federal México - Toluca 5860, Contadero,Cuajimalpa de Morelos
33000," Enrique Rébsamen,  Del Valle Centro, Benito Juárez",12832,3,2,3,3,, Enrique Rébsamen, Del Valle Centro,Benito Juárez
120000," Blvd de los Virreyes,  Lomas de Chapultepec, Miguel Hidalgo",30332,3,2,3,3,1.0, Blvd de los Virreyes, Lomas de Chapultepec,Miguel Hidalgo
15000," Miguel Ángel 23,  Santa María Nonoalco, Benito Juárez",7021,70,2,1,1,2.0, Miguel Ángel 23, Santa María Nonoalco,Benito Juárez
30000," Río Rhin 41,  Cuauhtémoc, Cuauhtémoc",7421,2,1,2,2,, Río Rhin 41, Cuauhtémoc,Cuauhtémoc
25500," Anahuac,  Anáhuac I Sección, Miguel Hidalgo",5511,55,1,1,1,1.0, Anahuac, Anáhuac I Sección,Miguel Hidalgo
73000," Presa Falcon,  Ampliación Granada, Miguel Hidalgo",15232,152,3,2,2,3.0, Presa Falcon, Ampliación Granada,Miguel Hidalgo
23500," VENTANAS COYOACAN,  Ex-Hacienda Coapa, Coyoacán",10032,100,3,2,2,3.0, VENTANAS COYOACAN, Ex-Hacienda Coapa,Coyoacán
