precio,ubicacion,tamanio,metros_cuadrados,num_baños,num_estacionamientos,num_recamaras,antiguedad
35000," Calle Lago Zurich 219,  Ampliación Granada, Miguel Hidalgo",7111,1,1,1,1,1
17000," Vista Marques,  Lomas de Angelópolis, San Andrés Cholula",14032,140,2,2,2,3
90000," Bosques de La Reforma,  Bosque de las Lomas, Miguel Hidalgo",39943,399,5,3,3,4
10500," Circuito, Blvd. Puente Moreno lote 1,  Fraccionamiento Puente Moreno, Medellín",11031,2,1,3,3,7
30014," 	El Yaqui ,  El Yaqui, Cuajimalpa de Morelos",10622,106,2,2,2,2
21500," José María Rico,  Del Valle Sur, Benito Juárez",9022,90,2,2,2,2
25000," Granjas Palo Alto ,  Granjas Palo Alto, Cuajimalpa de Morelos",12023,120,2,3,3,2
62030," Juan Vazquez de Mella 421, Polanco, Polanco I Secc, Miguel Hidalgo,  Polanco I Sección, Polanco",9921,99,2,1,1,2
25014," Granjas Palo Alto ,  Granjas Palo Alto, Cuajimalpa de Morelos",12023,120,2,3,3,2
38000," lago zurich 245,  Ampliación Granada, Miguel Hidalgo",11522,115,2,2,2,2
10000," Mar Mediterráneo,  Popotla, Miguel Hidalgo",4521,45,1,1,1,2
38000," av ejercito nacion 769,  Ampliación Granada, Miguel Hidalgo",11522,115,2,2,2,2
29000," Boulevard bosque real Five ,  Bosque Real, Huixquilucan",15022,150,2,2,2,2
35000," Carretera México-toluca,  Contadero, Cuajimalpa de Morelos",13532,135,3,2,2,3
30500," Sevilla,  Juárez, Cuauhtémoc",9522,95,2,2,2,2
90000," Lahia,  Zona Hotelera, Cancún",23232,1,2,3,3,6
26900," Lope de Vega,  Polanco, Miguel Hidalgo",13021,130,2,1,1,2
25000," Alpes,  Lomas de Chapultepec, Miguel Hidalgo",7011,70,1,1,1,1
70000," Departamento DE Lujo EN Renta DEL Valle SAN Pedro Garza Garcia,  Del Valle, San Pedro Garza García",24832,248,4,2,2,3
20000," Calle Avenida dos,  San Pedro de los Pinos, Benito Juárez",8922,89,2,2,2,2
14000," Camelia,  Buenavista, Cuauhtémoc",6221,62,2,1,1,2
111290,"  Aristóteles 103, Polanco, Polanco IV Secc, Miguel Hidalgo,  Polanco IV Sección, Polanco",20321,203,3,1,1,2
29000," Lago Zurich 243,  Ampliación Granada, Miguel Hidalgo",9022,2,2,2,2,7
32800," Departamento en Renta en Santa María,  Santa María, Monterrey",10822,108,2,2,2,2
32000," Avenida Javier Barros Sierra,  Santa Fe, Alvaro Obregón",15632,156,2,2,2,3
60000," Colima,  Roma Norte, Cuauhtémoc",14222,142,3,2,2,2
12500," Poniente 122,  Coltongo, Azcapotzalco",6821,68,2,1,1,2
22000," Campestre,  Campestre, Cancún",6212,62,1,2,2,1
26500," Av. Ignacio L Vallarta 5145,  Fraccionamiento Camino Real, Zapopan",13022,130,3,2,2,2
49000," Chicontepec 57,  Hipódromo Condesa, Cuauhtémoc",9822,2,2,2,2,4
25000," Adolfo López Mateos Sur 4255,  Loma Bonita, Zapopan",10022,100,2,2,2,2
320008," Economía,  Parques de la Herradura, Huixquilucan",20032,200,4,2,2,3
17000," Av. Huayacán,  Long Island, Cancún",8722,2,2,2,2,
18000," Eje 3 Norte Camarones,  San Bernabé, Azcapotzalco",7621,76,2,1,1,2
30000," Calle Carlos Finlay,  Cuauhtémoc, Cuauhtémoc",13311,133,1,1,1,1
25000," Departamento en Renta en Santa Catarina,  El Lechugal, Santa Catarina",9022,90,2,2,2,2
38000," Departamento en Renta en Dinastía,  Dinastía , Monterrey",19032,190,3,2,2,3
31365," Mezquital,  Peralvillo, Cuauhtémoc",6021,60,1,1,1,2
71200," Avenida Moliere,  Polanco, Miguel Hidalgo",25432,254,4,2,2,3
28000," Hacienda El Ciervo,  Hacienda de las Palmas, Huixquilucan",10932,109,4,2,2,3
56000," Hacienda de La Sierra,  Hacienda de La Sierra, San Pedro Garza García",11022,2,2,2,2,1
16000," Luis Manuel Rojas,  Montón Cuarteles, Huixquilucan",7021,70,2,1,1,2
10000," Morelos,  Ex Hacienda Coapa, Tlalpan",5121,51,1,1,1,2
25500," TIVE BAUME,  Bosque Real, Huixquilucan",12832,128,2,2,2,3
15000," Antonio Van Dick,  Santa María Nonoalco, Benito Juárez",6521,65,2,1,1,2
14000," Lago Garda,  Los Cajones, Atizapán de Zaragoza",7822,78,2,2,2,2
45000," CERRADA DE FERROCARRIL DE CUERNAVACA 779,  Polanco, Miguel Hidalgo",11522,115,2,2,2,2
100000," Departamento Renta Cumbres Santa FE,  Santa Fe, Alvaro Obregón",35033,350,3,3,3,3
32000," Benjamin Franklin  hipodromo condesa cuauhtémoc,  Hipódromo Condesa, Cuauhtémoc",9231,92,2,1,1,3
12000," H.congreso de La Unión,  Bondojito, Gustavo A. Madero",5621,56,2,1,1,2
26300," Coahuila,  Roma Norte, Cuauhtémoc",9531,95,2,1,1,3
58000," Chicontepec 57,  Hipódromo Condesa, Cuauhtémoc",11622,2,2,2,2,4
21000," Avenida Insurgentes Sur,  Guadalupe Inn, Alvaro Obregón",10021,100,1,1,1,2
60000," LAGO ZURICH 219,  Polanco, Miguel Hidalgo",11822,118,3,2,2,2
750000," La Playa Residencial,  Puerto Juárez, Cancún",22032,3,2,3,3,1
28000," Departamento en Renta en San Jerónimo,  La Meseta, Monterrey",10522,105,2,2,2,2
45000," LAGO ZURICH 245,  Ampliación Granada, Miguel Hidalgo",12032,120,2,2,2,3
21500," Lafragua 13, Tabacalera, Cuauhtemoc;CDMX,  Tabacalera, Cuauhtémoc",4011,40,1,1,1,1
17000," San Antonio Abad 58,  Tránsito, Cuauhtémoc",5721,57,1,1,1,2
23000," Livify,  Jardines Universidad, Zapopan",5511,55,1,1,1,1
34500," Juan Racine,  Polanco, Miguel Hidalgo",18032,180,2,2,2,3
14200000," Av Paseo de la Reforma 2693,  Ampliación Granada, Miguel Hidalgo",29434,3,4,3,3,1
19000," Carretera México-toluca,  El Yaqui, Cuajimalpa de Morelos",6211,62,1,1,1,1
27017," Calle Sierra Minuira ,  Reforma Social, Miguel Hidalgo",12022,120,2,2,2,2
27700," Berlín,  Juárez, Cuauhtémoc",12721,127,2,1,1,2
9000," Avenida Tetiz,  Pedregal de San Nicolás, Tlalpan",8521,85,1,1,1,2
28000," Córdoba,  Roma Norte, Cuauhtémoc",7921,79,1,1,1,2
100000," Avenida de Los Poetas,  Santa Fe, Alvaro Obregón",31832,318,3,2,2,3
46500," Alfonso Reyes,  Hipódromo Condesa, Cuauhtémoc",7021,70,2,1,1,2
27000," Renta Departamento High Park Santa FE,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",7012,70,2,2,2,1
104460,"  Aristóteles 103, Polanco, Polanco IV Secc, Miguel Hidalgo,  Polanco IV Sección, Polanco",15921,159,3,1,1,2
25000," TOWERS TORRE B,  Bosque Real, Huixquilucan",141222,141,2,2,2,22
65000," Avenida Club de Golf Lomas,  Lomas Country Club, Huixquilucan",70433,704,3,3,3,3
