precio,ubicacion,tamanio,direccion,colonia,alcaldia
29900," Jose Maria Castorena 232,  El Yaqui, Cuajimalpa de Morelos",802, Jose Maria Castorena 232,  El Yaqui, Cuajimalpa de Morelos
18000," Montecito 38,  Nápoles, Benito Juárez",40, Montecito 38,  Nápoles, Benito Juárez
70000," PALMA 34,  Centro , Cuauhtémoc",47, PALMA 34,  Centro , Cuauhtémoc
38000," CTO. Interior Melchor Ocampo ,  Cuauhtémoc, Cuauhtémoc",582, CTO. Interior Melchor Ocampo ,  Cuauhtémoc, Cuauhtémoc
16000," division del norte 515,  Del Valle Norte, Benito Juárez",181, division del norte 515,  Del Valle Norte, Benito Juárez
12000," Bolivar 1025 B,  Niños Héroes, Benito Juárez",33, Bolivar 1025 B,  Niños Héroes, Benito Juárez
18800," Miguel Angel de Quevedo 1014, Parque San Andrés, Coyoacán,  Parque San Andrés, Coyoacán",32, Miguel Angel de Quevedo 1014, Parque San Andrés," Coyoacán,  Parque San Andrés, Coyoacán"
50000," AV. DE LA PAZ 40,  San Ángel, Alvaro Obregón",66, AV. DE LA PAZ 40,  San Ángel, Alvaro Obregón
34330," Calz. La Viga 680,  Zapotla, Iztacalco",651, Calz. La Viga 680,  Zapotla, Iztacalco
8500," Marcelino Dávalos 53, Col. Algarín,  Algarín, Cuauhtémoc",151, Marcelino Dávalos 53, Col. Algarín,"  Algarín, Cuauhtémoc"
50000," Avenida de las Palmas 1065,  Lomas de Chapultepec, Miguel Hidalgo",291, Avenida de las Palmas 1065,  Lomas de Chapultepec, Miguel Hidalgo
13500," EMPRESA ,  Insurgentes Mixcoac, Benito Juárez",27, EMPRESA ,  Insurgentes Mixcoac, Benito Juárez
22500," ,  Federal, Venustiano Carranza",80, ,  Federal, Venustiano Carranza
24900," División del Norte 327,  Del Valle Centro, Benito Juárez",50, División del Norte 327,  Del Valle Centro, Benito Juárez
13500," Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan",30, Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan
1," Av. Rio Churubusco 1072,  Nueva Rosita, Iztapalapa",50960, Av. Rio Churubusco 1072,  Nueva Rosita, Iztapalapa
62000," Avenida Baja California 295,  Condesa, Cuauhtémoc",56, Avenida Baja California 295,  Condesa, Cuauhtémoc
16000," calzada vallejo 1657,  Ampliación Progreso Nacional, Gustavo A. Madero",80, calzada vallejo 1657,  Ampliación Progreso Nacional, Gustavo A. Madero
23000," MONTECITO 38,  Nápoles, Benito Juárez",36, MONTECITO 38,  Nápoles, Benito Juárez
8500000," Montecito,  Nápoles, Benito Juárez",59, Montecito,  Nápoles, Benito Juárez
15000," gabriel mancera 941,  Del Valle Centro, Benito Juárez",12, gabriel mancera 941,  Del Valle Centro, Benito Juárez
20000," AVENIDA AQUILES SERDAN 400,  Nextengo, Azcapotzalco",24, AVENIDA AQUILES SERDAN 400,  Nextengo, Azcapotzalco
